"Datum";"Zählerstand morgens";"Zählerstand abends";"Produktion";"Eigen verbrauch";"eingespeist"
26.01.2012;160;182;35,96;13,96;22,00
27.01.2012;182;182;1,80;1,80;0,00
28.01.2012;182;184;5,37;3,37;2,00
29.01.2012;184;184;0,00;0,00;0,00
30.01.2012;184;184;1,97;1,97;0,00
31.01.2012;184;185;2,50;1,50;1,00
01.02.2012;185;199;25,76;11,76;14,00
02.02.2012;199;207;15,51;7,51;8,00
03.02.2012;207;232;38,00;13,00;25,00
04.02.2012;232;257;36,50;11,50;25,00
05.02.2012;257;288;41,50;10,50;31,00
06.02.2012;288;309;37,40;16,40;21,00
07.02.2012;309;309;2,80;2,80;0,00
08.02.2012;309;325;25,50;9,50;16,00
09.02.2012;325;332;10,89;3,89;7,00
10.02.2012;332;332;1,63;1,63;0,00
11.02.2012;332;334;5,10;3,10;2,00
12.02.2012;334;354;27,20;7,20;20,00
13.02.2012;354;358;9,30;5,30;4,00
14.02.2012;358;358;1,40;1,40;0,00
15.02.2012;358;359;2,80;1,80;1,00
16.02.2012;359;370;17,70;6,70;11,00
17.02.2012;370;374;8,40;4,40;4,00
18.02.2012;374;395;25,90;4,90;21,00
19.02.2012;395;397;5,80;3,80;2,00
20.02.2012;397;410;19,90;6,90;13,00
21.02.2012;410;442;46,20;14,20;32,00
22.02.2012;442;481;47,10;8,10;39,00
23.02.2012;481;486;9,60;4,60;5,00
24.02.2012;486;514;40,97;12,97;28,00
25.02.2012;514;516;6,40;4,40;2,00
26.02.2012;516;522;13,40;7,40;6,00
27.02.2012;522;541;27,76;8,76;19,00
28.02.2012;541;543;6,10;4,10;2,00
29.02.2012;543;558;20,95;5,95;15,00
01.03.2012;558;594;46,91;10,91;36,00
02.03.2012;594;618;29,49;5,49;24,00
03.03.2012;618;638;30,78;10,78;20,00
04.03.2012;638;645;11,91;4,91;7,00
05.03.2012;645;654;15,43;6,43;9,00
06.03.2012;654;681;39,41;12,41;27,00
07.03.2012;681;706;36,81;11,81;25,00
08.03.2012;706;712;11,19;5,19;6,00
09.03.2012;712;749;46,09;9,09;37,00
10.03.2012;749;785;45,14;9,14;36,00
11.03.2012;785;785;4,50;4,50;0,00
12.03.2012;785;792;12,25;5,25;7,00
13.03.2012;792;800;15,36;7,36;8,00
14.03.2012;800;836;47,96;11,96;36,00
15.03.2012;836;880;53,27;9,27;44,00
16.03.2012;880;923;53,77;10,77;43,00
17.03.2012;923;960;43,77;6,77;37,00
18.03.2012;960;965;11,28;6,28;5,00
19.03.2012;965;974;16,91;7,91;9,00
20.03.2012;974;1016;54,75;12,75;42,00
21.03.2012;1016;1056;52,27;12,27;40,00
22.03.2012;1056;1101;56,04;11,04;45,00
23.03.2012;1101;1143;51,57;9,57;42,00
24.03.2012;1143;1181;47,84;9,84;38,00
25.03.2012;1181;1221;51,80;11,80;40,00
26.03.2012;1221;1266;55,40;10,40;45,00
27.03.2012;1266;1311;54,84;9,84;45,00
28.03.2012;1311;1354;54,87;11,87;43,00
29.03.2012;1354;1385;38,89;7,89;31,00
30.03.2012;1385;1388;7,13;4,13;3,00
31.03.2012;1388;1414;29,70;3,70;26,00
01.04.2012;1414;1462;61,06;13,06;48,00
02.04.2012;1462;1509;55,40;8,40;47,00
03.04.2012;1509;1541;41,54;9,54;32,00
04.04.2012;1541;1547;12,28;6,28;6,00
05.04.2012;1547;1547;2,78;2,78;0,00
06.04.2012;1547;1550;8,90;5,90;3,00
07.04.2012;1550;1561;16,90;5,90;11,00
08.04.2012;1561;1587;38,30;12,30;26,00
09.04.2012;1587;1600;23,90;10,90;13,00
10.04.2012;1600;1635;40,8;5,80;35,00
11.04.2012;1635;1646;15,30;4,30;11,00
12.04.2012;1646;1669;31,20;8,20;23,00
13.04.2012;1669;1710;50,10;9,10;41,00
14.04.2012;1710;1722;19,40;7,40;12,00
15.04.2012;1722;1724;7,60;5,60;2,00
16.04.2012;1724;1730;12,40;6,40;6,00
17.04.2012;1730;1768;47,70;9,70;38,00
18.04.2012;1768;1787;27,45;8,45;19,00
19.04.2012;1787;1816;36,65;7,65;29,00
20.04.2012;1816;1845;37,11;8,11;29,00
21.04.2012;1845;1867;31,02;9,02;22,00
22.04.2012;1867;1896;36,99;7,99;29,00
23.04.2012;1896;1918;31,75;9,75;22,00
24.04.2012;1918;1937;26,70;7,70;19,00
25.04.2012;1937;1975;50,70;12,70;38,00
26.04.2012;1975;2008;38,90;5,90;33,00
27.04.2012;2008;2046;47,80;9,80;38,00
28.04.2012;2046;2094;59,90;11,90;48,00
29.04.2012;2094;2119;35,03;10,03;25,00
30.04.2012;2119;2165;56,90;10,90;46,00
01.05.2012;2165;2204;54,60;15,60;39,00
02.05.2012;2204;2242;51,05;13,05;38,00
03.05.2012;2242;2276;43,00;9,00;34,00
04.05.2012;2276;2319;55,40;12,40;43,00
05.05.2012;2319;2337;25,30;7,30;18,00
06.05.2012;2337;2360;34,66;11,66;23,00
07.05.2012;2360;2395;45,50;10,50;35,00
08.05.2012;2395;2425;40,50;10,50;30,00
09.05.2012;2425;2457;39,10;7,10;32,00
10.05.2012;2457;2497;53,90;13,90;40,00
11.05.2012;2497;2537;51,34;11,34;40,00
12.05.2012;2537;2553;22,90;6,90;16,00
13.05.2012;2553;2588;46,80;11,80;35,00
14.05.2012;2588;2640;63,70;11,70;52,00
15.05.2012;2640;2659;28,30;9,30;19,00
16.05.2012;2659;2678;24,60;5,60;19,00
17.05.2012;2678;2718;53,36;13,36;40,00
18.05.2012;2718;2748;42,60;12,60;30,00
19.05.2012;2748;2792;52,40;8,40;44,00
20.05.2012;2792;2831;51,90;12,90;39,00
21.05.2012;2831;2867;47,18;11,18;36,00
22.05.2012;2867;2905;48,91;10,91;38,00
23.05.2012;2905;2930;32,88;7,88;25,00
24.05.2012;2930;2963;44,30;11,30;33,00
25.05.2012;2963;3011;60,08;12,08;48,00
26.05.2012;3011;3065;63,80;9,80;54,00
27.05.2012;3065;3088;33,00;10,00;23,00
28.05.2012;3088;3136;61,20;13,20;48,00
29.05.2012;3136;3185;59,50;10,50;49,00
30.05.2012;3185;3219;44,10;10,10;34,00
31.05.2012;3219;3252;43,58;10,58;33,00
01.06.2012;3252;3274;26,75;4,75;22,00
02.06.2012;3274;3317;54,40;11,40;43,00
03.06.2012;3317;3333;22,40;6,40;16,00
04.06.2012;3333;3356;32,90;9,90;23,00
05.06.2012;3356;3392;46,20;10,20;36,00
06.06.2012;3392;3405;21,70;8,70;13,00
07.06.2012;3405;3430;37,50;12,50;25,00
08.06.2012;3430;3444;21,20;7,20;14,00
09.06.2012;3444;3491;58,30;11,30;47,00
10.06.2012;3491;3510;28,70;9,70;19,00
11.06.2012;3510;3543;40,40;7,40;33,00
12.06.2012;3543;3561;26,20;8,20;18,00
13.06.2012;3561;3587;35,00;9,00;26,00
14.06.2012;3587;3628;54,00;13,00;41,00
15.06.2012;3628;3665;47,80;10,80;37,00
16.06.2012;3665;3714;58,40;9,40;49,00
17.06.2012;3714;3752;51,30;13,30;38,00
18.06.2012;3752;3794;52,90;10,90;42,00
19.06.2012;3794;3832;47,30;9,30;38,00
20.06.2012;3832;3841;16,20;7,20;9,00
21.06.2012;3841;3884;54,60;11,60;43,00
22.06.2012;3884;3933;61,70;12,70;49,00
23.06.2012;3933;3982;57,80;8,80;49,00
24.06.2012;3982;4013;41,10;10,10;31,00
25.06.2012;4013;4050;45,40;8,40;37,00
26.06.2012;4050;4090;50,80;10,80;40,00
27.06.2012;4090;4134;53,90;9,90;44,00
28.06.2012;4134;4166;42,80;10,80;32,00
29.06.2012;4166;4202;49,20;13,20;36,00
30.06.2012;4202;4249;51,50;4,50;47,00
01.07.2012;4249;4256;11,40;4,40;7,00
02.07.2012;4256;4262;14,70;8,70;6,00
03.07.2012;4262;4270;14,10;6,10;8,00
04.07.2012;4270;4301;42,20;11,20;31,00
05.07.2012;4301;4346;53,00;8,00;45,00
06.07.2012;4346;4370;35,60;11,60;24,00
07.07.2012;4370;4409;48,20;9,20;39,00
08.07.2012;4409;4443;42,70;8,70;34,00
09.07.2012;4443;4489;54,60;8,60;46,00
10.07.2012;4489;4539;58,80;8,80;50,00
11.07.2012;4539;4587;56,50;8,50;48,00
12.07.2012;4587;4615;43,00;15,00;28,00
13.07.2012;4615;4642;33,80;6,80;27,00
14.07.2012;4642;4672;39,20;9,20;30,00
15.07.2012;4672;4700;35,50;7,50;28,00
16.07.2012;4700;4728;37,00;9,00;28,00
17.07.2012;4728;4745;26,60;9,60;17,00
18.07.2012;4745;4782;56,50;19,50;37,00
19.07.2012;4782;4797;22,30;7,30;15,00
20.07.2012;4797;4809;21,30;9,30;12,00
21.07.2012;4809;4834;30,90;5,90;25,00
22.07.2012;4834;4879;57,20;12,20;45,00
23.07.2012;4879;4932;62,60;9,60;53,00
24.07.2012;4932;4979;57,40;10,40;47,00
25.07.2012;4979;5020;51,80;10,80;41,00
26.07.2012;5020;5068;56,20;8,20;48,00
27.07.2012;5068;5110;53,60;11,60;42,00
28.07.2012;5110;5131;27,70;6,70;21,00
29.07.2012;5131;5155;31,00;7,00;24,00
30.07.2012;5155;5203;57,40;9,40;48,00
31.07.2012;5203;5238;43,20;8,20;35,00
01.08.2012;5238;5286;58,60;10,60;48,00
02.08.2012;5286;5325;44,10;5,10;39,00
03.08.2012;5325;5360;42,10;7,10;35,00
04.08.2012;5360;5397;49,00;12,00;37,00
05.08.2012;5397;5434;44,10;7,10;37,00
06.08.2012;5434;5441;12,20;5,20;7,00
07.08.2012;5441;5471;40,20;10,20;30,00
08.08.2012;5471;5518;56,20;9,20;47,00
09.08.2012;5518;5561;48,20;5,20;43,00
10.08.2012;5561;5605;54,10;10,10;44,00
11.08.2012;5605;5653;54,00;6,00;48,00
12.08.2012;5653;5698;56,10;11,10;45,00
13.08.2012;5698;5743;55,20;10,20;45,00
14.08.2012;5743;5775;41,40;9,40;32,00
15.08.2012;5775;5816;49,2;8,20;41,00
16.08.2012;5816;5846;35,60;5,60;30,00
17.08.2012;5846;5886;48,90;8,90;40,00
18.08.2012;5886;5931;55,30;10,30;45,00
19.08.2012;5931;5976;54,50;9,50;45,00
20.08.2012;5976;6015;46,80;7,80;39,00
21.08.2012;6015;6052;46,10;9,10;37,00
22.08.2012;6052;6073;25,80;4,80;21,00
23.08.2012;6073;6108;46,30;11,30;35,00
24.08.2012;6108;6118;14,00;4,00;10,00
25.08.2012;6118;6152;41,70;7,70;34,00
26.08.2012;6152;6180;35,90;7,90;28,00
27.08.2012;6180;6228;57,40;9,40;48,00
28.08.2012;6228;6267;48,20;9,20;39,00
29.08.2012;6267;6307;49,30;9,30;40,00
30.08.2012;6307;6315;12,60;4,60;8,00
31.08.2012;6315;6330;20,20;5,20;15,00
01.09.2012;6330;6336;9,10;3,10;6,00
02.09.2012;6336;6339;8,90;5,90;3,00
03.09.2012;6339;6355;25,50;9,50;16,00
04.09.2012;6355;6385;39,00;9,00;30,00
05.09.2012;6385;6417;43,00;11,00;32,00
06.09.2012;6417;6457;45,40;5,40;40,00
07.09.2012;6457;6504;55,40;8,40;47,00
08.09.2012;6504;6551;53,60;6,60;47,00
09.09.2012;6551;6597;52,70;6,70;46,00
10.09.2012;6597;6637;48,40;8,40;40,00
11.09.2012;6637;6661;35,40;11,40;24,00
12.09.2012;6661;6668;14,40;7,40;7,00
13.09.2012;6668;6697;38,60;9,60;29,00
14.09.2012;6697;6738;49,40;8,40;41,00
15.09.2012;6738;6763;30,60;5,60;25,00
16.09.2012;6763;6802;50,10;11,10;39,00
17.09.2012;6802;6840;44,00;6,00;38,00
18.09.2012;6840;6874;45,20;11,20;34,00
19.09.2012;6874;6892;23,60;5,60;18,00
20.09.2012;6892;6933;51,80;10,80;41,00
21.09.2012;6933;6970;43,90;6,90;37,00
22.09.2012;6970;6990;25,30;5,30;20,00
23.09.2012;6990;7019;37,70;8,70;29,00
24.09.2012;7019;7038;23,20;4,20;19,00
25.09.2012;7038;7058;26,20;6,20;20,00
26.09.2012;7058;7085;36,10;9,10;27,00
27.09.2012;7085;7113;35,20;7,20;28,00
28.09.2012;7113;7157;50,90;6,90;44,00
29.09.2012;7157;7167;14,20;4,20;10,00
30.09.2012;7167;7182;25,20;10,20;15,00
01.10.2012;7182;7184;6,20;4,20;2,00
02.10.2012;7184;7220;46,30;10,30;36,00
03.10.2012;7220;7236;22,20;6,20;16,00
04.10.2012;7236;7244;13,70;5,70;8,00
05.10.2012;7244;7278;44,00;10,00;34,00
06.10.2012;7278;7292;20,60;6,60;14,00
07.10.2012;7292;7297;9,20;4,20;5,00
08.10.2012;7297;7324;34,10;7,10;27,00
09.10.2012;7324;7324;2,50;2,50;0,00
10.10.2012;7324;7328;7,40;3,40;4,00
11.10.2012;7328;7335;15,30;8,30;7,00
12.10.2012;7335;7339;9,70;5,70;4,00
13.10.2012;7339;7361;30,00;8,00;22,00
14.10.2012;7361;7373;20,50;8,50;12,00
15.10.2012;7373;7378;8,50;3,50;5,00
16.10.2012;7378;7407;38,40;9,40;29,00
17.10.2012;7407;7428;31,00;10,00;21,00
18.10.2012;7428;7447;26,40;7,40;19,00
19.10.2012;7447;7480;42,00;9,00;33,00
20.10.2012;7480;7513;40,00;7,00;33,00
21.10.2012;7513;7545;41,30;9,30;32,00
22.10.2012;7545;7573;35,10;7,10;28,00
23.10.2012;7573;7575;7,00;5,00;2,00
24.10.2012;7575;7590;21,70;6,70;15,00
25.10.2012;7590;7617;33,30;6,30;27,00
26.10.2012;7617;7622;10,00;5,00;5,00
27.10.2012;7622;7622;0,00;0,00;0,00
28.10.2012;7622;7622;0,00;0,00;0,00
29.10.2012;7622;7645;29,50;6,50;23,00
30.10.2012;7645;7672;35,00;8,00;27,00
31.10.2012;7672;7697;39,20;14,20;25,00
01.11.2012;7697;7716;26,90;7,90;19,00
02.11.2012;7716;7729;20,90;7,90;13,00
03.11.2012;7729;7747;25,20;7,20;18,00
04.11.2012;7747;7758;15,90;4,90;11,00
05.11.2012;7758;7768;12,40;2,40;10,00
