"Datum";"Zählerstand morgens";"Zählerstand abends";"Produktion";"Eigen verbrauch";"eingespeist"
06.11.2012;7768;7786;24,30;6,30;18,00
07.11.2012;7786;7787;4,00;3,00;1,00
08.11.2012;7787;7803;23,30;7,30;16,00
09.11.2012;7803;7821;26,20;8,20;18,00
10.11.2012;7821;7822;3,40;2,40;1,00
11.11.2012;7822;7822;2,00;2,00;0,00
12.11.2012;7822;7822;2,60;2,60;0,00
13.11.2012;7822;7823;6,00;5,00;1,00
14.11.2012;7823;7824;3,90;2,90;1,00
15.11.2012;7824;7838;23,80;9,80;14,00
16.11.2012;7838;7843;11,30;6,30;5,00
17.11.2012;7843;7857;21,40;7,40;14,00
18.11.2012;7857;7865;16,00;8,00;8,00
19.11.2012;7865;7869;10,80;6,80;4,00
20.11.2012;7869;7885;25,20;9,20;16,00
21.11.2012;7885;7902;31,30;14,30;17,00
22.11.2012;7902;7904;6,00;4,00;2,00
23.11.2012;7904;7909;12,50;7,50;5,00
24.11.2012;7909;7918;13,5;4,50;9,00
25.11.2012;7918;7925;12,20;5,20;7,00
26.11.2012;7925;7927;4,80;2,80;2,00
27.11.2012;7927;7927;1,40;1,40;0,00
28.11.2012;7927;7927;0,00;0,00;0,00
29.11.2012;7927;7927;0,00;0,00;0,00
30.11.2012;7927;7927;2,00;2,00;0,00
01.12.2012;7927;7941;21,40;7,40;14,00
02.12.2012;7941;7944;6,60;3,60;3,00
03.12.2012;7944;7944;2,60;2,60;0,00
04.12.2012;7944;7945;4,10;3,10;1,00
05.12.2012;7945;7945;5,20;5,20;0,00
06.12.2012;7945;7946;1,00;0,00;1,00
07.12.2012;7946;7946;1,40;1,40;0,00
08.12.2012;7946;7950;9,20;5,20;4,00
09.12.2012;7950;7953;6,60;3,60;3,00
10.12.2012;7953;7953;1,20;1,20;0,00
11.12.2012;7953;7953;0,00;0,00;0,00
12.12.2012;7953;7953;0,60;0,60;0,00
13.12.2012;7953;7953;0,60;0,60;0,00
14.12.2012;7953;7954;6,30;5,30;1,00
15.12.2012;7954;7960;8,20;2,20;6,00
16.12.2012;7960;7961;6,50;5,50;1,00
17.12.2012;7961;7964;8,20;5,20;3,00
18.12.2012;7964;7968;7,90;3,90;4,00
19.12.2012;7968;7970;7,70;5,70;2,00
20.12.2012;7970;7975;8,90;3,90;5,00
21.12.2012;7975;7975;2,00;2,00;0,00
22.12.2012;7975;7976;5,30;4,30;1,00
23.12.2012;7976;7977;2,50;1,50;1,00
24.12.2012;7977;7992;21,10;6,10;15,00
25.12.2012;7992;7997;13,50;8,50;5,00
26.12.2012;7997;8000;7,00;4,00;3,00
27.12.2012;8000;8001;3,20;2,20;1,00
28.12.2012;8001;8003;5,50;3,50;2,00
29.12.2012;8003;8022;23,50;4,50;19,00
30.12.2012;8022;8028;10,80;4,80;6,00
31.12.2012;8028;8040;16,70;4,70;12,00
