"Datum";"Zählerstand morgens";"Zählerstand abends";"Produktion";"Eigen verbrauch";"eingespeist"
01.01.2015;23130;23130;0;0,00;0,00
02.01.2015;23130;23130;0;0,00;0,00
03.01.2015;23130;23130;3,5;3,50;0,00
04.01.2015;23130;23133;5,2;2,20;3,00
05.01.2015;23133;23155;26,2;4,20;22,00
06.01.2015;23155;23175;22,5;2,50;20,00
07.01.2015;23175;23175;4,2;4,20;0,00
08.01.2015;23175;23176;4;3,00;1,00
09.01.2015;23176;23178;5,1;3,10;2,00
10.01.2015;23178;23185;14,7;7,70;7,00
11.01.2015;23185;23186;3,9;2,90;1,00
12.01.2015;23186;23194;16,3;8,30;8,00
13.01.2015;23194;23214;27,5;7,50;20,00
14.01.2015;23214;23216;5,5;3,50;2,00
15.01.2015;23216;23216;3,5;3,50;0,00
16.01.2015;23216;23217;4,3;3,30;1,00
17.01.2015;23217;23217;3,1;3,10;0,00
18.01.2015;23217;23238;24,9;3,90;21,00
19.01.2015;23238;23250;14,8;2,80;12,00
20.01.2015;23250;23250;1;1,00;0,00
21.01.2015;23250;23251;5,8;4,80;1,00
22.01.2015;23251;23251;1,2;1,20;0,00
23.01.2015;23251;23251;0;0,00;0,00
24.01.2015;23251;23251;2,8;2,80;0,00
25.01.2015;23251;23252;1;0,00;1,00
26.01.2015;23252;23253;4,2;3,20;1,00
27.01.2015;23253;23253;3,8;3,80;0,00
28.01.2015;23253;23258;11,6;6,60;5,00
29.01.2015;23258;23264;11,1;5,10;6,00
30.01.2015;23264;23270;10,2;4,20;6,00
31.01.2015;23270;23277;8,8;1,80;7,00
01.02.2015;23277;23279;4,9;2,90;2,00
02.02.2015;23279;23279;0;0,00;0,00
03.02.2015;23279;23285;12,2;6,20;6,00
04.02.2015;23285;23289;9,3;5,30;4,00
05.02.2015;23289;23290;5,5;4,50;1,00
06.02.2015;23290;23302;20,2;8,20;12,00
07.02.2015;23302;23336;39,1;5,10;34,00
08.02.2015;23336;23348;15,1;3,10;12,00
09.02.2015;23348;23350;6,2;4,20;2,00
10.02.2015;23350;23354;11,2;7,20;4,00
11.02.2015;23354;23380;38,2;12,20;26,00
12.02.2015;23380;23415;44,4;9,40;35,00
13.02.2015;23415;23448;44,3;11,30;33,00
14.02.2015;23448;23469;30,7;9,70;21,00
15.02.2015;23469;23501;35,8;3,80;32,00
16.02.2015;23501;23534;41,6;8,60;33,00
17.02.2015;23534;23534;3,3;3,30;0,00
18.02.2015;23534;23539;11,3;6,30;5,00
19.02.2015;23539;23558;29,5;10,50;19,00
20.02.2015;23558;23594;48,3;12,30;36,00
21.02.2015;23594;23600;10,9;4,90;6,00
22.02.2015;23600;23611;14,7;3,70;11,00
23.02.2015;23611;23615;7,7;3,70;4,00
24.02.2015;23615;23626;16,9;5,90;11,00
25.02.2015;23626;23663;44;7,00;37,00
26.02.2015;23663;23704;52;11,00;41,00
27.02.2015;23704;23707;6,4;3,40;3,00
28.02.2015;23707;23742;40;5,00;35,00
01.03.2015;23742;23746;10,1;6,10;4,00
02.03.2015;23746;23752;11;5,00;6,00
03.03.2015;23752;23796;50,3;6,30;44,00
04.03.2015;23796;23817;29,2;8,20;21,00
05.03.2015;23817;23835;23,4;5,40;18,00
06.03.2015;23835;23867;38;6,00;32,00
07.03.2015;23867;23903;41,9;5,90;36,00
08.03.2015;23903;23945;50;8,00;42,00
09.03.2015;23945;23993;52,8;4,80;48,00
10.03.2015;23993;24017;35,3;11,30;24,00
11.03.2015;24017;24051;42,7;8,70;34,00
12.03.2015;24051;24075;28,8;4,80;24,00
13.03.2015;24075;24099;32,1;8,10;24,00
14.03.2015;24099;24103;9,3;5,30;4,00
15.03.2015;24103;24133;38;8,00;30,00
16.03.2015;24133;24177;50,6;6,60;44,00
17.03.2015;24177;24222;50;5,00;45,00
18.03.2015;24222;24263;50,2;9,20;41,00
19.03.2015;24263;24305;52,9;10,90;42,00
20.03.2015;24305;24347;49;7,00;42,00
21.03.2015;24347;24367;28,4;8,40;20,00
22.03.2015;24367;24372;9,8;4,80;5,00
23.03.2015;24372;24392;23,8;3,80;20,00
24.03.2015;24392;24426;45,6;11,60;34,00
25.03.2015;24426;24458;43;11,00;32,00
26.03.2015;24458;24460;5,8;3,80;2,00
27.03.2015;24460;24482;26,8;4,80;22,00
28.03.2015;24482;24524;51;9,00;42,00
29.03.2015;24524;24533;12,9;3,90;9,00
30.03.2015;24533;24539;12,2;6,20;6,00
31.03.2015;24539;24544;11,3;6,30;5,00
01.04.2015;24544;24566;32,7;10,70;22,00
02.04.2015;24566;24568;8,2;6,20;2,00
03.04.2015;24568;24608;55,5;15,50;40,00
04.04.2015;24608;24612;10,2;6,20;4,00
05.04.2015;24612;24641;41,4;12,40;29,00
06.04.2015;24641;24653;20,1;8,10;12,00
07.04.2015;24653;24704;62;11,00;51,00
08.04.2015;24704;24756;60,7;8,70;52,00
09.04.2015;24756;24803;57,7;10,70;47,00
10.04.2015;24803;24850;55,2;8,20;47,00
11.04.2015;24850;24873;29,8;6,80;23,00
12.04.2015;24873;24915;49,6;7,60;42,00
13.04.2015;24915;24954;43,6;4,60;39,00
14.04.2015;24954;25004;60;10,00;50,00
15.04.2015;25004;25055;58,7;7,70;51,00
16.04.2015;25055;25079;32,4;8,40;24,00
17.04.2015;25079;25089;13,7;3,70;10,00
18.04.2015;25089;25139;58,2;8,20;50,00
19.04.2015;25139;25195;65;9,00;56,00
20.04.2015;25195;25251;62,6;6,60;56,00
21.04.2015;25251;25306;62,6;7,60;55,00
22.04.2015;25306;25360;61,6;7,60;54,00
23.04.2015;25360;25416;62,2;6,20;56,00
24.04.2015;25416;25468;62,8;10,80;52,00
25.04.2015;25468;25480;16;4,00;12,00
26.04.2015;25480;25522;51;9,00;42,00
27.04.2015;25522;25555;39,6;6,60;33,00
28.04.2015;25555;25565;16,7;6,70;10,00
29.04.2015;25565;25609;57,1;13,10;44,00
30.04.2015;25609;25637;37,9;9,90;28,00
01.05.2015;25637;25643;11,4;5,40;6,00
02.05.2015;25643;25658;21,4;6,40;15,00
03.05.2015;25658;25667;16,2;7,20;9,00
04.05.2015;25667;25694;35,7;8,70;27,00
05.05.2015;25694;25706;15,7;3,70;12,00
06.05.2015;25706;25745;45,6;6,60;39,00
07.05.2015;25745;25799;63,7;9,70;54,00
08.05.2015;25799;25849;57,8;7,80;50,00
09.05.2015;25849;25882;41,1;8,10;33,00
10.05.2015;25882;25921;48,1;9,10;39,00
11.05.2015;25921;25964;50,7;7,70;43,00
12.05.2015;25964;26004;53,4;13,40;40,00
13.05.2015;26004;26049;58,4;13,40;45,00
14.05.2015;26049;26074;33,5;8,50;25,00
15.05.2015;26074;26079;8,7;3,70;5,00
16.05.2015;26079;26122;52,5;9,50;43,00
17.05.2015;26122;26155;41,5;8,50;33,00
18.05.2015;26155;26212;64,3;7,30;57,00
19.05.2015;26212;26227;22,6;7,60;15,00
20.05.2015;26227;26244;22,5;5,50;17,00
21.05.2015;26244;26269;35,1;10,10;25,00
22.05.2015;26269;26325;62,4;6,40;56,00
23.05.2015;26325;26362;42,2;5,20;37,00
24.05.2015;26362;26385;27,4;4,40;23,00
25.05.2015;26385;26403;22;4,00;18,00
26.05.2015;26403;26422;22,7;3,70;19,00
27.05.2015;26422;26445;31;8,00;23,00
28.05.2015;26445;26504;64,1;5,10;59,00
29.05.2015;26504;26541;41;4,00;37,00
30.05.2015;26541;26556;20,6;5,60;15,00
31.05.2015;26556;26597;49,9;8,90;41,00
01.06.2015;26597;26624;33,4;6,40;27,00
02.06.2015;26624;26673;55,7;6,70;49,00
03.06.2015;26673;26723;59,1;9,10;50,00
04.06.2015;26723;26770;61,7;14,70;47,00
05.06.2015;26770;26818;60;12,00;48,00
06.06.2015;26818;26864;53;7,00;46,00
07.06.2015;26864;26912;55;7,00;48,00
08.06.2015;26912;26914;4,9;2,90;2,00
09.06.2015;26914;26917;7,8;4,80;3,00
10.06.2015;26917;26927;17;7,00;10,00
11.06.2015;26927;26962;49,3;14,30;35,00
