"Datum";"Zählerstand morgens";"Zählerstand abends";"Produktion";"Eigen verbrauch";"eingespeist"
01.01.2016;31639;31642;8;5,00;3,00
02.01.2016;31642;31643;2,8;1,80;1,00
03.01.2016;31643;31647;10,2;6,20;4,00
04.01.2016;31647;31652;7,6;2,60;5,00
05.01.2016;31652;31662;15,2;5,20;10,00
06.01.2016;31662;31665;5,7;2,70;3,00
07.01.2016;31665;31671;8,1;2,10;6,00
08.01.2016;31671;31677;12,4;6,40;6,00
09.01.2016;31677;31677;3,1;3,10;0,00
10.01.2016;31677;31678;2,4;1,40;1,00
11.01.2016;31678;31681;5,7;2,70;3,00
12.01.2016;31681;31687;10,4;4,40;6,00
13.01.2016;31687;31687;3;3,00;0,00
14.01.2016;31687;31705;29,7;11,70;18,00
15.01.2016;31705;31705;1,1;1,10;0,00
16.01.2016;31705;31705;0,1;0,10;0,00
17.01.2016;31705;31705;0;0,00;0,00
18.01.2016;31705;31705;1,2;1,20;0,00
19.01.2016;31705;31705;2,7;2,70;0,00
20.01.2016;31705;31721;21,5;5,50;16,00
21.01.2016;31721;31735;21,6;7,60;14,00
22.01.2016;31735;31754;28,3;9,30;19,00
23.01.2016;31754;31755;3,2;2,20;1,00
24.01.2016;31755;31759;8,3;4,30;4,00
25.01.2016;31759;31781;30,5;8,50;22,00
26.01.2016;31781;31804;29,2;6,20;23,00
27.01.2016;31804;31806;6,7;4,70;2,00
28.01.2016;31806;31807;1,9;0,90;1,00
29.01.2016;31807;31825;32,2;14,20;18,00
30.01.2016;31825;31834;12,4;3,40;9,00
31.01.2016;31834;31834;2,7;2,70;0,00
01.02.2016;31834;31836;4,3;2,30;2,00
02.02.2016;31836;31841;10,1;5,10;5,00
03.02.2016;31841;31843;3,8;1,80;2,00
04.02.2016;31843;31847;6;2,00;4,00
05.02.2016;31847;31857;15,9;5,90;10,00
06.02.2016;31857;31873;24,5;8,50;16,00
07.02.2016;31873;31874;4,4;3,40;1,00
08.02.2016;31874;31886;16,4;4,40;12,00
09.02.2016;31886;31889;4,5;1,50;3,00
10.02.2016;31889;31894;13;8,00;5,00
11.02.2016;31894;31900;10,6;4,60;6,00
12.02.2016;31900;31931;36,6;5,60;31,00
13.02.2016;31931;31937;8,8;2,80;6,00
14.02.2016;31937;31940;6,3;3,30;3,00
15.02.2016;31940;31940;1,6;1,60;0,00
16.02.2016;31940;31940;3,7;3,70;0,00
17.02.2016;31940;31941;2,8;1,80;1,00
18.02.2016;31941;31962;27,5;6,50;21,00
19.02.2016;31962;31963;4,5;3,50;1,00
20.02.2016;31963;31963;1,8;1,80;0,00
21.02.2016;31963;31968;8,7;3,70;5,00
22.02.2016;31968;31994;35,3;9,30;26,00
23.02.2016;31994;31996;3,3;1,30;2,00
24.02.2016;31996;32016;30,7;10,70;20,00
25.02.2016;32016;32018;3,1;1,10;2,00
26.02.2016;32018;32049;43,8;12,80;31,00
27.02.2016;32049;32088;45,4;6,40;39,00
28.02.2016;32088;32096;12,7;4,70;8,00
29.02.2016;32096;32096;1,4;1,40;0,00
01.03.2016;32096;32104;13,9;5,90;8,00
02.03.2016;32104;32110;8,6;2,60;6,00
03.03.2016;32110;32122;23,4;11,40;12,00
04.03.2016;32122;32133;21,7;10,70;11,00
05.03.2016;32133;32135;5,8;3,80;2,00
06.03.2016;32135;32147;17;5,00;12,00
07.03.2016;32147;32174;34;7,00;27,00
08.03.2016;32174;32193;25,6;6,60;19,00
09.03.2016;32193;32210;28,6;11,60;17,00
10.03.2016;32210;32251;51,8;10,80;41,00
11.03.2016;32251;32266;19,9;4,90;15,00
12.03.2016;32266;32284;22,7;4,70;18,00
13.03.2016;32284;32289;11,1;6,10;5,00
14.03.2016;32289;32333;51,1;7,10;44,00
15.03.2016;32333;32338;8,1;3,10;5,00
16.03.2016;32338;32368;38,6;8,60;30,00
17.03.2016;32368;32412;55,5;11,50;44,00
18.03.2016;32412;32459;55,2;8,20;47,00
19.03.2016;32459;32477;25;7,00;18,00
20.03.2016;32477;32519;47,3;5,30;42,00
21.03.2016;32519;32540;27,1;6,10;21,00
22.03.2016;32540;32556;24,7;8,70;16,00
23.03.2016;32556;32560;10,3;6,30;4,00
24.03.2016;32560;32566;11,3;5,30;6,00
25.03.2016;32566;32573;12,6;5,60;7,00
26.03.2016;32573;32615;49,9;7,90;42,00
27.03.2016;32615;32630;18,5;3,50;15,00
28.03.2016;32630;32658;33,6;5,60;28,00
29.03.2016;32658;32702;47,7;3,70;44,00
30.03.2016;32702;32713;16,4;5,40;11,00
31.03.2016;32713;32745;43,4;11,40;32,00
01.04.2016;32745;32748;7;4,00;3,00
02.04.2016;32748;32774;33,5;7,50;26,00
03.04.2016;32774;32812;43,2;5,20;38,00
04.04.2016;32812;32836;31,3;7,30;24,00
05.04.2016;32836;32855;28,4;9,40;19,00
06.04.2016;32855;32894;43,3;4,30;39,00
07.04.2016;32894;32904;14,7;4,70;10,00
08.04.2016;32904;32928;33;9,00;24,00
09.04.2016;32928;32936;12,9;4,90;8,00
10.04.2016;32936;32955;26,9;7,90;19,00
11.04.2016;32955;33004;58,8;9,80;49,00
12.04.2016;33004;33042;38,2;0,20;38,00
13.04.2016;33042;33057;21,1;6,10;15,00
14.04.2016;33057;33089;38,6;6,60;32,00
15.04.2016;33089;33107;24,3;6,30;18,00
16.04.2016;33107;33118;15,3;4,30;11,00
17.04.2016;33118;33124;11,3;5,30;6,00
18.04.2016;33124;33134;16,6;6,60;10,00
