"Datum";"Zählerstand morgens";"Zählerstand abends";"Produktion";"Eigen verbrauch";"eingespeist"
01.01.2017;39573;39591;24,3;6,30;18,00
02.01.2017;39591;39591;1,5;1,50;0,00
03.01.2017;39591;39591;1,3;1,30;0,00
04.01.2017;39591;39591;0,9;0,90;0,00
05.01.2017;39591;39591;0;0,00;0,00
06.01.2017;39591;39591;1,4;1,40;0,00
07.01.2017;39591;39591;0,5;0,50;0,00
08.01.2017;39591;39591;0;0,00;0,00
09.01.2017;39591;39591;0;0,00;0,00
10.01.2017;39591;39591;0;0,00;0,00
11.01.2017;39591;39595;5;1,00;4,00
12.01.2017;39595;39596;3,9;2,90;1,00
13.01.2017;39596;39597;5,8;4,80;1,00
14.01.2017;39597;39599;5,2;3,20;2,00
15.01.2017;39599;39600;5,9;4,90;1,00
16.01.2017;39600;39600;0,8;0,80;0,00
17.01.2017;39600;39600;1,2;1,20;0,00
18.01.2017;39600;39603;8;5,00;3,00
19.01.2017;39603;39624;27,4;6,40;21,00
20.01.2017;39624;39643;30,3;11,30;19,00
21.01.2017;39643;39668;30,2;5,20;25,00
22.01.2017;39668;39693;32,3;7,30;25,00
23.01.2017;39693;39708;26,2;11,20;15,00
24.01.2017;39708;39709;3,4;2,40;1,00
25.01.2017;39709;39711;6,2;4,20;2,00
26.01.2017;39711;39717;11,7;5,70;6,00
27.01.2017;39717;39743;33,3;7,30;26,00
28.01.2017;39743;39765;29,6;7,60;22,00
29.01.2017;39765;39785;27,5;7,50;20,00
30.01.2017;39785;39786;4,8;3,80;1,00
31.01.2017;39786;39786;2,2;2,20;0,00
01.02.2017;39786;39788;7,5;5,50;2,00
02.02.2017;39788;39803;20;5,00;15,00
03.02.2017;39803;39805;6,2;4,20;2,00
04.02.2017;39805;39812;9,7;2,70;7,00
05.02.2017;39812;39817;11,3;6,30;5,00
06.02.2017;39817;39820;7;4,00;3,00
07.02.2017;39820;39831;13,1;2,10;11,00
08.02.2017;39831;39837;14,2;8,20;6,00
09.02.2017;39837;39838;4,2;3,20;1,00
10.02.2017;39838;39847;12,4;3,40;9,00
11.02.2017;39847;39876;41;12,00;29,00
12.02.2017;39876;39902;33,5;7,50;26,00
13.02.2017;39902;39907;9,2;4,20;5,00
14.02.2017;39907;39941;41,9;7,90;34,00
15.02.2017;39941;39973;43,2;11,20;32,00
16.02.2017;39973;40004;41,3;10,30;31,00
17.02.2017;40004;40010;16,9;10,90;6,00
18.02.2017;40010;40016;11,6;5,60;6,00
19.02.2017;40016;40040;32,1;8,10;24,00
20.02.2017;40040;40048;14,2;6,20;8,00
21.02.2017;40048;40050;4,4;2,40;2,00
22.02.2017;40050;40051;4;3,00;1,00
23.02.2017;40051;40081;34,7;4,70;30,00
24.02.2017;40081;40088;10,2;3,20;7,00
25.02.2017;40088;40128;48;8,00;40,00
26.02.2017;40128;40141;18,4;5,40;13,00
27.02.2017;40141;40182;48,3;7,30;41,00
28.02.2017;40182;40190;12,5;4,50;8,00
01.03.2017;40190;40195;8,6;3,60;5,00
02.03.2017;40195;40234;46,4;7,40;39,00
03.03.2017;40234;40249;22,3;7,30;15,00
04.03.2017;40249;40271;28,1;6,10;22,00
05.03.2017;40271;40292;28,1;7,10;21,00
06.03.2017;40292;40312;23,5;3,50;20,00
07.03.2017;40312;40319;11,6;4,60;7,00
08.03.2017;40319;40331;17,6;5,60;12,00
09.03.2017;40331;40333;5,4;3,40;2,00
10.03.2017;40333;40367;42,5;8,50;34,00
11.03.2017;40367;40396;37,9;8,90;29,00
12.03.2017;40396;40442;54,9;8,90;46,00
13.03.2017;40442;40482;46,5;6,50;40,00
14.03.2017;40482;40517;46,6;11,60;35,00
15.03.2017;40517;40547;45,2;15,20;30,00
16.03.2017;40547;40586;51,8;12,80;39,00
17.03.2017;40586;40616;40,2;10,20;30,00
18.03.2017;40616;40621;7,7;2,70;5,00
19.03.2017;40621;40628;10,5;3,50;7,00
20.03.2017;40628;40655;33,7;6,70;27,00
21.03.2017;40655;40669;21,1;7,10;14,00
22.03.2017;40669;40673;9,5;5,50;4,00
23.03.2017;40673;40713;47,7;7,70;40,00
24.03.2017;40713;40719;10,7;4,70;6,00
25.03.2017;40719;40768;59,1;10,10;49,00
26.03.2017;40768;40815;53,8;6,80;47,00
27.03.2017;40815;40868;60,4;7,40;53,00
28.03.2017;40868;40912;54,9;10,90;44,00
29.03.2017;40912;40959;55,3;8,30;47,00
30.03.2017;40959;41004;56,1;11,10;45,00
31.03.2017;41004;41049;50,7;5,70;45,00
01.04.2017;41049;41086;46,9;9,90;37,00
02.04.2017;41086;41115;33,8;4,80;29,00
03.04.2017;41115;41142;34,1;7,10;27,00
04.04.2017;41142;41185;50,5;7,50;43,00
05.04.2017;41185;41220;44,3;9,30;35,00
06.04.2017;41220;41237;22,1;5,10;17,00
07.04.2017;41237;41286;56,6;7,60;49,00
08.04.2017;41286;41337;59;8,00;51,00
09.04.2017;41337;41392;60;5,00;55,00
10.04.2017;41392;41435;53,4;10,40;43,00
11.04.2017;41435;41480;52,8;7,80;45,00
12.04.2017;41480;41527;54,7;7,70;47,00
13.04.2017;41527;41546;26,3;7,30;19,00
14.04.2017;41546;41563;25,4;8,40;17,00
15.04.2017;41563;41586;26;3,00;23,00
16.04.2017;41586;41595;17;8,00;9,00
17.04.2017;41595;41600;11,2;6,20;5,00
18.04.2017;41600;41619;25,6;6,60;19,00
19.04.2017;41619;41640;25,8;4,80;21,00
20.04.2017;41640;41686;54,8;8,80;46,00
21.04.2017;41686;41734;60,7;12,70;48,00
22.04.2017;41734;41740;8,2;2,20;6,00
23.04.2017;41740;41782;48;6,00;42,00
24.04.2017;41782;41838;63,5;7,50;56,00
25.04.2017;41838;41849;19,4;8,40;11,00
26.04.2017;41849;41857;12,7;4,70;8,00
27.04.2017;41857;41866;14,9;5,90;9,00
28.04.2017;41866;41879;19,4;6,40;13,00
29.04.2017;41879;41914;41,1;6,10;35,00
30.04.2017;41914;41971;66,5;9,50;57,00
01.05.2017;41971;41975;10;6,00;4,00
02.05.2017;41975;42006;37,7;6,70;31,00
03.05.2017;42006;42031;30;5,00;25,00
04.05.2017;42031;42049;25;7,00;18,00
05.05.2017;42049;42075;33,1;7,10;26,00
06.05.2017;42075;42119;48,9;4,90;44,00
07.05.2017;42119;42124;12,4;7,40;5,00
08.05.2017;42124;42126;4,4;2,40;2,00
09.05.2017;42126;42158;38,8;6,80;32,00
10.05.2017;42158;42214;65,8;9,80;56,00
11.05.2017;42214;42244;38;8,00;30,00
12.05.2017;42244;42275;39,6;8,60;31,00
13.05.2017;42275;42317;51,8;9,80;42,00
14.05.2017;42317;42357;44;4,00;40,00
15.05.2017;42357;42405;53;5,00;48,00
16.05.2017;42405;42460;61,3;6,30;55,00
17.05.2017;42460;42515;62,5;7,50;55,00
18.05.2017;42515;42546;38,3;7,30;31,00
19.05.2017;42546;42553;11,8;4,80;7,00
20.05.2017;42553;42589;46,3;10,30;36,00
21.05.2017;42589;42639;55;5,00;50,00
22.05.2017;42639;42689;59,7;9,70;50,00
23.05.2017;42689;42739;56,5;6,50;50,00
24.05.2017;42739;42779;47;7,00;40,00
25.05.2017;42779;42830;54,7;3,70;51,00
26.05.2017;42830;42884;63,5;9,50;54,00
27.05.2017;42884;42941;63;6,00;57,00
28.05.2017;42941;42991;60,5;10,50;50,00
29.05.2017;42991;43033;50,7;8,70;42,00
30.05.2017;43033;43074;45,4;4,40;41,00
31.05.2017;43074;43118;55,4;11,40;44,00
01.06.2017;43118;43174;61,7;5,70;56,00
02.06.2017;43174;43207;40,5;7,50;33,00
03.06.2017;43207;43244;45,6;8,60;37,00
04.06.2017;43244;43267;29,4;6,40;23,00
05.06.2017;43267;43284;22,4;5,40;17,00
06.06.2017;43284;43311;32,5;5,50;27,00
07.06.2017;43311;43351;45,2;5,20;40,00
08.06.2017;43351;43400;60,5;11,50;49,00
09.06.2017;43400;43432;40,2;8,20;32,00
10.06.2017;43432;43491;62,8;3,80;59,00
11.06.2017;43491;43544;60,9;7,90;53,00
12.06.2017;43544;43569;28,5;3,50;25,00
13.06.2017;43569;43619;60,2;10,20;50,00
14.06.2017;43619;43674;60,8;5,80;55,00
15.06.2017;43674;43725;58,2;7,20;51,00
16.06.2017;43725;43781;62,3;6,30;56,00
17.06.2017;43781;43826;53,6;8,60;45,00
18.06.2017;43826;43885;63,8;4,80;59,00
19.06.2017;43885;43937;61,9;9,90;52,00
20.06.2017;43937;43988;57;6,00;51,00
21.06.2017;43988;44038;57;7,00;50,00
22.06.2017;44038;44085;50,7;3,70;47,00
23.06.2017;44085;44120;44,9;9,90;35,00
24.06.2017;44120;44171;57;6,00;51,00
25.06.2017;44171;44205;37,7;3,70;34,00
26.06.2017;44205;44259;60,5;6,50;54,00
27.06.2017;44259;44299;49,3;9,30;40,00
28.06.2017;44299;44337;45,5;7,50;38,00
29.06.2017;44337;44374;44,4;7,40;37,00
30.06.2017;44374;44430;61,5;5,50;56,00
01.07.2017;44430;44470;45,1;5,10;40,00
02.07.2017;44470;44484;15,8;1,80;14,00
03.07.2017;44484;44526;49,5;7,50;42,00
04.07.2017;44526;44567;54,1;13,10;41,00
05.07.2017;44567;44617;59;9,00;50,00
06.07.2017;44617;44656;49;10,00;39,00
07.07.2017;44656;44695;46,3;7,30;39,00
08.07.2017;44695;44737;48,3;6,30;42,00
09.07.2017;44737;44764;34;7,00;27,00
10.07.2017;44764;44788;32,5;8,50;24,00
11.07.2017;44788;44818;39,6;9,60;30,00
12.07.2017;44818;44839;26,1;5,10;21,00
13.07.2017;44839;44890;65;14,00;51,00
14.07.2017;44890;44918;34;6,00;28,00
15.07.2017;44918;44953;44,8;9,80;35,00
16.07.2017;44953;45004;58,8;7,80;51,00
17.07.2017;45004;45057;60,1;7,10;53,00
18.07.2017;45057;45097;52,5;12,50;40,00
19.07.2017;45097;45144;57,1;10,10;47,00
20.07.2017;45144;45200;58;2,00;56,00
21.07.2017;45200;45220;22;2,00;20,00
22.07.2017;45220;45258;40;2,00;38,00
23.07.2017;45258;45286;30,3;2,30;28,00
24.07.2017;45286;45303;25,7;8,70;17,00
25.07.2017;45303;45313;14,8;4,80;10,00
26.07.2017;45313;45317;8,7;4,70;4,00
27.07.2017;45317;45334;25,5;8,50;17,00
28.07.2017;45334;45378;53,2;9,20;44,00
